training_record_id,employee_id,course_id,course_name,regulator,is_mandatory,due_date,completion_date,status,days_overdue,department_id,location_id
TRC-001155,EMP-00148,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-09-03,,Overdue,263,DPT-009,LOC-001
TRC-001156,EMP-00148,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-29,Completed,0,DPT-009,LOC-001
TRC-001157,EMP-00149,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-03-13,2026-03-10,Completed,0,DPT-017,LOC-001
TRC-001158,EMP-00149,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-01-24,2025-12-17,Completed,0,DPT-017,LOC-001
TRC-001159,EMP-00149,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-02-23,2026-01-20,Completed,0,DPT-017,LOC-001
TRC-001160,EMP-00149,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-04-24,2026-04-05,Completed,0,DPT-017,LOC-001
TRC-001161,EMP-00149,TRN-005,Insider Trading Policy,Internal,Yes,2025-07-19,2025-06-15,Completed,0,DPT-017,LOC-001
TRC-001162,EMP-00149,TRN-006,Cyber Security Awareness,Internal,Yes,2026-02-21,2026-01-11,Completed,0,DPT-017,LOC-001
TRC-001163,EMP-00149,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-03-20,2025-03-05,Completed,0,DPT-017,LOC-001
TRC-001164,EMP-00149,TRN-008,Workplace Respect & Harassment,Internal,Yes,2026-01-30,2026-01-19,Completed,0,DPT-017,LOC-001
TRC-001165,EMP-00149,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-10-25,2025-10-14,Completed,0,DPT-017,LOC-001
TRC-001166,EMP-00149,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-23,Completed,0,DPT-017,LOC-001
TRC-001167,EMP-00150,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-10-06,2025-08-25,Completed,0,DPT-003,LOC-005
TRC-001168,EMP-00150,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-11-16,2025-10-03,Completed,0,DPT-003,LOC-005
TRC-001169,EMP-00150,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-09-30,2025-08-18,Completed,0,DPT-003,LOC-005
TRC-001170,EMP-00150,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-04-26,2026-03-31,Completed,0,DPT-003,LOC-005
TRC-001171,EMP-00150,TRN-005,Insider Trading Policy,Internal,Yes,2026-01-20,2025-12-23,Completed,0,DPT-003,LOC-005
TRC-001172,EMP-00150,TRN-006,Cyber Security Awareness,Internal,Yes,2026-05-12,2026-04-23,Completed,0,DPT-003,LOC-005
TRC-001173,EMP-00150,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2024-11-06,2024-10-03,Completed,0,DPT-003,LOC-005
TRC-001174,EMP-00150,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-01-30,2025-01-06,Completed,0,DPT-003,LOC-005
TRC-001175,EMP-00150,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-07-14,2025-06-06,Completed,0,DPT-003,LOC-005
TRC-001176,EMP-00150,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,,Upcoming,0,DPT-003,LOC-005
TRC-001177,EMP-00151,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-03-05,2026-02-13,Completed,0,DPT-001,LOC-007
TRC-001178,EMP-00151,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-04-07,2026-03-31,Completed,0,DPT-001,LOC-007
TRC-001179,EMP-00151,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-06-16,2025-06-14,Completed,0,DPT-001,LOC-007
TRC-001180,EMP-00151,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-05-14,2026-05-02,Completed,0,DPT-001,LOC-007
TRC-001181,EMP-00151,TRN-005,Insider Trading Policy,Internal,Yes,2025-10-19,2025-10-05,Completed,0,DPT-001,LOC-007
TRC-001182,EMP-00151,TRN-006,Cyber Security Awareness,Internal,Yes,2025-11-28,2025-11-18,Completed,0,DPT-001,LOC-007
TRC-001183,EMP-00151,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-01-21,2025-05-08,Completed,0,DPT-001,LOC-007
TRC-001184,EMP-00151,TRN-008,Workplace Respect & Harassment,Internal,Yes,2024-12-21,2025-05-03,Completed,0,DPT-001,LOC-007
TRC-001185,EMP-00151,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-12-08,2025-11-27,Completed,0,DPT-001,LOC-007
TRC-001186,EMP-00152,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-03-15,2026-03-07,Completed,0,DPT-003,LOC-005
TRC-001187,EMP-00152,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-09-30,2025-09-09,Completed,0,DPT-003,LOC-005
TRC-001188,EMP-00152,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-09-25,,Overdue,241,DPT-003,LOC-005
TRC-001189,EMP-00152,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-04-29,2026-04-20,Completed,0,DPT-003,LOC-005
TRC-001190,EMP-00152,TRN-005,Insider Trading Policy,Internal,Yes,2025-06-16,2025-05-30,Completed,0,DPT-003,LOC-005
TRC-001191,EMP-00152,TRN-006,Cyber Security Awareness,Internal,Yes,2026-01-08,2025-12-15,Completed,0,DPT-003,LOC-005
TRC-001192,EMP-00152,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2026-04-05,2026-02-28,Completed,0,DPT-003,LOC-005
TRC-001193,EMP-00152,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-02-01,2024-12-22,Completed,0,DPT-003,LOC-005
TRC-001194,EMP-00152,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-10-01,2025-08-18,Completed,0,DPT-003,LOC-005
TRC-001195,EMP-00152,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-14,Completed,0,DPT-003,LOC-005
TRC-001196,EMP-00153,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-03-23,2026-03-18,Completed,0,DPT-016,LOC-004
TRC-001197,EMP-00153,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-07-15,2025-06-21,Completed,0,DPT-016,LOC-004
TRC-001198,EMP-00153,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-05-10,2026-05-08,Completed,0,DPT-016,LOC-004
TRC-001199,EMP-00153,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-05-04,2025-04-08,Completed,0,DPT-016,LOC-004
TRC-001200,EMP-00153,TRN-005,Insider Trading Policy,Internal,Yes,2026-01-16,2026-01-10,Completed,0,DPT-016,LOC-004
TRC-001201,EMP-00153,TRN-006,Cyber Security Awareness,Internal,Yes,2026-03-21,2026-02-28,Completed,0,DPT-016,LOC-004
TRC-001202,EMP-00153,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-04-22,2025-04-15,Completed,0,DPT-016,LOC-004
TRC-001203,EMP-00153,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-04-27,2025-04-24,Completed,0,DPT-016,LOC-004
TRC-001204,EMP-00153,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-10-15,2025-09-13,Completed,0,DPT-016,LOC-004
TRC-001205,EMP-00153,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-28,Completed,0,DPT-016,LOC-004
TRC-001206,EMP-00154,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-02-06,2026-01-08,Completed,0,DPT-005,LOC-001
TRC-001207,EMP-00154,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-02-04,2026-01-01,Completed,0,DPT-005,LOC-001
TRC-001208,EMP-00154,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-05-06,2026-04-22,Completed,0,DPT-005,LOC-001
TRC-001209,EMP-00154,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-03-07,2026-02-16,Completed,0,DPT-005,LOC-001
TRC-001210,EMP-00154,TRN-005,Insider Trading Policy,Internal,Yes,2025-06-08,2025-04-24,Completed,0,DPT-005,LOC-001
TRC-001211,EMP-00154,TRN-006,Cyber Security Awareness,Internal,Yes,2026-04-07,2026-03-22,Completed,0,DPT-005,LOC-001
TRC-001212,EMP-00154,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-05-02,2025-04-29,Completed,0,DPT-005,LOC-001
TRC-001213,EMP-00154,TRN-008,Workplace Respect & Harassment,Internal,Yes,2024-11-29,2024-10-24,Completed,0,DPT-005,LOC-001
TRC-001214,EMP-00154,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2026-05-18,,Overdue,6,DPT-005,LOC-001
TRC-001215,EMP-00154,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-11-07,Completed,0,DPT-005,LOC-001
TRC-001216,EMP-00155,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-03-16,2026-02-08,Completed,0,DPT-004,LOC-006
TRC-001217,EMP-00155,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-07-27,2025-07-22,Completed,0,DPT-004,LOC-006
TRC-001218,EMP-00155,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-08-05,2025-06-26,Completed,0,DPT-004,LOC-006
TRC-001219,EMP-00155,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-05-21,,Overdue,368,DPT-004,LOC-006
TRC-001220,EMP-00155,TRN-005,Insider Trading Policy,Internal,Yes,2025-09-08,2025-09-07,Completed,0,DPT-004,LOC-006
TRC-001221,EMP-00155,TRN-006,Cyber Security Awareness,Internal,Yes,2026-04-17,2026-04-07,Completed,0,DPT-004,LOC-006
TRC-001222,EMP-00155,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-06-07,2025-05-23,Completed,0,DPT-004,LOC-006
TRC-001223,EMP-00155,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-06-07,2025-05-08,Completed,0,DPT-004,LOC-006
TRC-001224,EMP-00155,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-07-03,2025-05-27,Completed,0,DPT-004,LOC-006
TRC-001225,EMP-00155,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-20,Completed,0,DPT-004,LOC-006
TRC-001226,EMP-00156,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-02-24,2026-02-11,Completed,0,DPT-003,LOC-002
TRC-001227,EMP-00156,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-10-29,2025-10-03,Completed,0,DPT-003,LOC-002
TRC-001228,EMP-00156,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-01-22,2025-12-28,Completed,0,DPT-003,LOC-002
TRC-001229,EMP-00156,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2024-06-14,2024-06-13,Completed,0,DPT-003,LOC-002
TRC-001230,EMP-00156,TRN-005,Insider Trading Policy,Internal,Yes,2025-10-29,2025-10-18,Completed,0,DPT-003,LOC-002
TRC-001231,EMP-00156,TRN-006,Cyber Security Awareness,Internal,Yes,2026-05-16,2026-04-14,Completed,0,DPT-003,LOC-002
TRC-001232,EMP-00156,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2024-10-08,2024-09-12,Completed,0,DPT-003,LOC-002
TRC-001233,EMP-00156,TRN-008,Workplace Respect & Harassment,Internal,Yes,2024-12-31,2024-12-21,Completed,0,DPT-003,LOC-002
TRC-001234,EMP-00156,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-06-25,,Overdue,333,DPT-003,LOC-002
TRC-001235,EMP-00157,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-02-02,2026-01-06,Completed,0,DPT-003,LOC-001
TRC-001236,EMP-00157,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-05-19,2026-04-05,Completed,0,DPT-003,LOC-001
TRC-001237,EMP-00157,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-06-25,2025-05-17,Completed,0,DPT-003,LOC-001
TRC-001238,EMP-00157,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-10-17,2025-09-22,Completed,0,DPT-003,LOC-001
TRC-001239,EMP-00157,TRN-005,Insider Trading Policy,Internal,Yes,2025-09-22,2025-09-08,Completed,0,DPT-003,LOC-001
TRC-001240,EMP-00157,TRN-006,Cyber Security Awareness,Internal,Yes,2026-02-23,2026-01-24,Completed,0,DPT-003,LOC-001
TRC-001241,EMP-00157,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2026-01-04,2025-11-20,Completed,0,DPT-003,LOC-001
TRC-001242,EMP-00157,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-02-09,2025-01-29,Completed,0,DPT-003,LOC-001
TRC-001243,EMP-00157,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2026-02-19,2026-01-11,Completed,0,DPT-003,LOC-001
TRC-001244,EMP-00157,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-12,Completed,0,DPT-003,LOC-001
TRC-001245,EMP-00158,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-09-03,2025-08-23,Completed,0,DPT-024,LOC-003
TRC-001246,EMP-00158,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-08-13,2025-08-08,Completed,0,DPT-024,LOC-003
TRC-001247,EMP-00158,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-08-30,2025-07-22,Completed,0,DPT-024,LOC-003
TRC-001248,EMP-00158,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-08-08,2025-07-10,Completed,0,DPT-024,LOC-003
TRC-001249,EMP-00158,TRN-005,Insider Trading Policy,Internal,Yes,2025-12-07,2025-11-04,Completed,0,DPT-024,LOC-003
TRC-001250,EMP-00158,TRN-006,Cyber Security Awareness,Internal,Yes,2026-05-15,2026-05-05,Completed,0,DPT-024,LOC-003
TRC-001251,EMP-00158,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-09-18,2025-09-09,Completed,0,DPT-024,LOC-003
TRC-001252,EMP-00158,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-02-27,2025-01-18,Completed,0,DPT-024,LOC-003
TRC-001253,EMP-00158,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-08-28,2025-08-11,Completed,0,DPT-024,LOC-003
TRC-001254,EMP-00158,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,,Upcoming,0,DPT-024,LOC-003
TRC-001255,EMP-00159,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-09-16,2025-08-06,Completed,0,DPT-001,LOC-001
TRC-001256,EMP-00159,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-09-08,2025-08-02,Completed,0,DPT-001,LOC-001
TRC-001257,EMP-00159,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-04-09,2026-03-16,Completed,0,DPT-001,LOC-001
TRC-001258,EMP-00159,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-08-12,2025-06-28,Completed,0,DPT-001,LOC-001
TRC-001259,EMP-00159,TRN-005,Insider Trading Policy,Internal,Yes,2025-07-09,2025-06-25,Completed,0,DPT-001,LOC-001
TRC-001260,EMP-00159,TRN-006,Cyber Security Awareness,Internal,Yes,2026-02-24,2026-01-18,Completed,0,DPT-001,LOC-001
TRC-001261,EMP-00159,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2024-07-25,2024-07-19,Completed,0,DPT-001,LOC-001
TRC-001262,EMP-00159,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-01-28,2025-01-20,Completed,0,DPT-001,LOC-001
TRC-001263,EMP-00159,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-06-04,2025-05-21,Completed,0,DPT-001,LOC-001
TRC-001264,EMP-00159,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-21,Completed,0,DPT-001,LOC-001
TRC-001265,EMP-00160,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-03-28,2026-03-25,Completed,0,DPT-007,LOC-004
TRC-001266,EMP-00160,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-04-26,2026-03-29,Completed,0,DPT-007,LOC-004
TRC-001267,EMP-00160,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-12-21,,Overdue,154,DPT-007,LOC-004
TRC-001268,EMP-00160,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-01-16,2026-01-05,Completed,0,DPT-007,LOC-004
TRC-001269,EMP-00160,TRN-005,Insider Trading Policy,Internal,Yes,2025-07-21,2025-07-17,Completed,0,DPT-007,LOC-004
TRC-001270,EMP-00160,TRN-006,Cyber Security Awareness,Internal,Yes,2026-01-25,2026-01-04,Completed,0,DPT-007,LOC-004
TRC-001271,EMP-00160,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-04-01,2025-03-10,Completed,0,DPT-007,LOC-004
TRC-001272,EMP-00160,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-09-06,2025-08-11,Completed,0,DPT-007,LOC-004
TRC-001273,EMP-00160,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-06-01,,Overdue,357,DPT-007,LOC-004
TRC-001274,EMP-00160,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-29,Completed,0,DPT-007,LOC-004
TRC-001275,EMP-00161,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-01-18,2025-12-07,Completed,0,DPT-001,LOC-006
TRC-001276,EMP-00161,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-08-20,2025-09-29,Completed,0,DPT-001,LOC-006
TRC-001277,EMP-00161,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-08-17,2025-10-09,Completed,0,DPT-001,LOC-006
TRC-001278,EMP-00161,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-04-03,2025-10-30,Completed,0,DPT-001,LOC-006
TRC-001279,EMP-00161,TRN-005,Insider Trading Policy,Internal,Yes,2025-09-16,2025-10-19,Completed,0,DPT-001,LOC-006
TRC-001280,EMP-00161,TRN-006,Cyber Security Awareness,Internal,Yes,2026-04-07,2026-02-24,Completed,0,DPT-001,LOC-006
TRC-001281,EMP-00161,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2026-02-15,2026-02-04,Completed,0,DPT-001,LOC-006
TRC-001282,EMP-00161,TRN-008,Workplace Respect & Harassment,Internal,Yes,2024-09-01,2025-10-31,Completed,0,DPT-001,LOC-006
TRC-001283,EMP-00161,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2026-05-12,2026-04-07,Completed,0,DPT-001,LOC-006
TRC-001284,EMP-00161,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-08,Completed,0,DPT-001,LOC-006
TRC-001285,EMP-00162,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-07-23,2025-06-20,Completed,0,DPT-020,LOC-004
TRC-001286,EMP-00162,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-09-19,2025-09-03,Completed,0,DPT-020,LOC-004
TRC-001287,EMP-00162,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-07-28,2025-06-24,Completed,0,DPT-020,LOC-004
TRC-001288,EMP-00162,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-07-10,2025-07-03,Completed,0,DPT-020,LOC-004
TRC-001289,EMP-00162,TRN-005,Insider Trading Policy,Internal,Yes,2025-12-11,2025-11-26,Completed,0,DPT-020,LOC-004
TRC-001290,EMP-00162,TRN-006,Cyber Security Awareness,Internal,Yes,2025-12-08,2025-10-25,Completed,0,DPT-020,LOC-004
TRC-001291,EMP-00162,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-10-10,2025-08-29,Completed,0,DPT-020,LOC-004
TRC-001292,EMP-00162,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-06-15,2025-05-21,Completed,0,DPT-020,LOC-004
TRC-001293,EMP-00162,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-10-05,2025-09-18,Completed,0,DPT-020,LOC-004
TRC-001294,EMP-00162,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-27,Completed,0,DPT-020,LOC-004
TRC-001295,EMP-00164,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-03-19,2026-02-28,Completed,0,DPT-006,LOC-003
TRC-001296,EMP-00164,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-06-21,2025-05-26,Completed,0,DPT-006,LOC-003
TRC-001297,EMP-00164,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-07-29,2025-07-27,Completed,0,DPT-006,LOC-003
TRC-001298,EMP-00164,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-01-15,2025-01-14,Completed,0,DPT-006,LOC-003
TRC-001299,EMP-00164,TRN-005,Insider Trading Policy,Internal,Yes,2026-04-24,,Overdue,30,DPT-006,LOC-003
TRC-001300,EMP-00164,TRN-006,Cyber Security Awareness,Internal,Yes,2026-01-19,2026-01-10,Completed,0,DPT-006,LOC-003
TRC-001301,EMP-00164,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2024-06-19,2024-11-12,Completed,0,DPT-006,LOC-003
TRC-001302,EMP-00164,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-11-17,,Overdue,188,DPT-006,LOC-003
TRC-001303,EMP-00164,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2026-02-02,2025-12-28,Completed,0,DPT-006,LOC-003
TRC-001304,EMP-00165,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-06-25,2025-05-18,Completed,0,DPT-020,LOC-001
TRC-001305,EMP-00165,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-08-03,2025-07-11,Completed,0,DPT-020,LOC-001
TRC-001306,EMP-00165,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-10-30,2025-09-15,Completed,0,DPT-020,LOC-001
TRC-001307,EMP-00165,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-12-11,2025-11-01,Completed,0,DPT-020,LOC-001
TRC-001308,EMP-00165,TRN-005,Insider Trading Policy,Internal,Yes,2026-05-12,2026-05-08,Completed,0,DPT-020,LOC-001
TRC-001309,EMP-00165,TRN-006,Cyber Security Awareness,Internal,Yes,2026-05-10,2026-04-15,Completed,0,DPT-020,LOC-001
TRC-001310,EMP-00165,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-06-21,2025-06-11,Completed,0,DPT-020,LOC-001
TRC-001311,EMP-00165,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-08-14,,Overdue,283,DPT-020,LOC-001
TRC-001312,EMP-00165,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-11-11,2025-10-11,Completed,0,DPT-020,LOC-001
TRC-001313,EMP-00165,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,,Upcoming,0,DPT-020,LOC-001
TRC-001314,EMP-00166,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-07-16,2025-06-16,Completed,0,DPT-018,LOC-004
TRC-001315,EMP-00166,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-03-02,2026-02-17,Completed,0,DPT-018,LOC-004
TRC-001316,EMP-00166,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-09-22,2025-08-19,Completed,0,DPT-018,LOC-004
TRC-001317,EMP-00166,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-04-29,2026-04-20,Completed,0,DPT-018,LOC-004
TRC-001318,EMP-00166,TRN-005,Insider Trading Policy,Internal,Yes,2026-02-10,2026-01-04,Completed,0,DPT-018,LOC-004
TRC-001319,EMP-00166,TRN-006,Cyber Security Awareness,Internal,Yes,2026-04-08,2026-03-17,Completed,0,DPT-018,LOC-004
TRC-001320,EMP-00166,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-08-10,2025-06-26,Completed,0,DPT-018,LOC-004
TRC-001321,EMP-00166,TRN-008,Workplace Respect & Harassment,Internal,Yes,2026-03-07,2026-03-01,Completed,0,DPT-018,LOC-004
TRC-001322,EMP-00166,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-08-21,,Overdue,276,DPT-018,LOC-004
TRC-001323,EMP-00166,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-10,Completed,0,DPT-018,LOC-004
TRC-001324,EMP-00167,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-11-17,2025-10-25,Completed,0,DPT-005,LOC-001
TRC-001325,EMP-00167,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-08-31,2025-08-28,Completed,0,DPT-005,LOC-001
TRC-001326,EMP-00167,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-10-12,2025-09-08,Completed,0,DPT-005,LOC-001
TRC-001327,EMP-00167,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-01-09,2025-12-21,Completed,0,DPT-005,LOC-001
TRC-001328,EMP-00167,TRN-005,Insider Trading Policy,Internal,Yes,2026-05-01,2026-04-28,Completed,0,DPT-005,LOC-001
TRC-001329,EMP-00167,TRN-006,Cyber Security Awareness,Internal,Yes,2026-04-30,2026-03-30,Completed,0,DPT-005,LOC-001
TRC-001330,EMP-00167,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2026-03-29,2026-02-13,Completed,0,DPT-005,LOC-001
TRC-001331,EMP-00167,TRN-008,Workplace Respect & Harassment,Internal,Yes,2024-10-24,2025-04-20,Completed,0,DPT-005,LOC-001
TRC-001332,EMP-00167,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2026-01-24,,Overdue,120,DPT-005,LOC-001
TRC-001333,EMP-00167,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,,Upcoming,0,DPT-005,LOC-001
TRC-001334,EMP-00168,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-03-05,2026-02-07,Completed,0,DPT-002,LOC-001
TRC-001335,EMP-00168,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-06-12,,Overdue,346,DPT-002,LOC-001
TRC-001336,EMP-00168,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-01-28,2025-12-16,Completed,0,DPT-002,LOC-001
TRC-001337,EMP-00168,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2024-08-15,2025-03-26,Completed,0,DPT-002,LOC-001
TRC-001338,EMP-00168,TRN-005,Insider Trading Policy,Internal,Yes,2026-01-19,2025-12-09,Completed,0,DPT-002,LOC-001
TRC-001339,EMP-00168,TRN-006,Cyber Security Awareness,Internal,Yes,2026-04-13,2026-02-28,Completed,0,DPT-002,LOC-001
TRC-001340,EMP-00168,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-02-14,2025-04-26,Completed,0,DPT-002,LOC-001
TRC-001341,EMP-00168,TRN-008,Workplace Respect & Harassment,Internal,Yes,2024-08-28,2025-04-12,Completed,0,DPT-002,LOC-001
TRC-001342,EMP-00168,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-08-20,2025-08-06,Completed,0,DPT-002,LOC-001
