policy_id,customer_id,product_id,advisor_id,policy_number,policy_type,status,effective_date,expiry_date,premium_amount,coverage_amount,payment_frequency,last_payment_date,risk_category
POL-00176,CUS-0095,PRD-0005,ADV-0014,MLJ-575141,Life,Active,2020-06-05,2050-06-05,6804,16821029,Monthly,2025-03-02,High
POL-00177,CUS-0032,PRD-0004,ADV-0027,MLJ-742126,Life,Cancelled,2022-08-31,2121-08-28,3675,21594921,Monthly,2025-10-09,Low
POL-00178,CUS-0117,PRD-0009,ADV-0018,MLJ-276210,Group,Cancelled,2019-08-22,2029-08-22,135360,422790851,Semi-Annual,2025-07-13,Medium
POL-00179,CUS-0043,PRD-0012,ADV-0005,MLJ-316687,Life,Active,2018-12-14,2028-12-14,5307,18648285,Annual,2026-04-29,Medium
POL-00180,CUS-0186,PRD-0007,ADV-0003,MLJ-448314,Health,Active,2025-03-11,2124-03-11,2945,4125617,Monthly,2026-03-22,Medium
POL-00181,CUS-0007,PRD-0007,ADV-0022,MLJ-252463,Health,Active,2024-10-13,2044-10-13,3887,5776148,Quarterly,2025-10-07,High
POL-00182,CUS-0023,PRD-0003,ADV-0016,MLJ-519346,Life,Active,2024-03-16,2054-03-16,68970,84033226,Quarterly,2025-10-23,High
POL-00183,CUS-0031,PRD-0009,ADV-0004,MLJ-701932,Group,Cancelled,2022-07-24,2037-07-24,33408,135489156,Monthly,2025-10-13,Low
POL-00184,CUS-0048,PRD-0006,ADV-0011,MLJ-797306,Health,Cancelled,2023-09-18,2043-09-18,12860,16674780,Annual,2025-08-04,High
POL-00185,CUS-0005,PRD-0006,ADV-0006,MLJ-930610,Health,Active,2025-08-09,2035-08-09,2559,2951180,Quarterly,2025-06-26,Low
POL-00186,CUS-0199,PRD-0012,ADV-0008,MLJ-662150,Life,Lapsed,2020-01-08,2040-01-08,6185,16831812,Quarterly,2026-03-14,Medium
POL-00187,CUS-0174,PRD-0004,ADV-0029,MLJ-848814,Life,Active,2018-12-12,2038-12-12,4231,33752369,Quarterly,2026-02-03,High
POL-00188,CUS-0171,PRD-0011,ADV-0017,MLJ-692542,Health,Cancelled,2018-08-15,2033-08-15,2009,4536190,Quarterly,2025-09-13,Medium
POL-00189,CUS-0066,PRD-0001,ADV-0010,MLJ-904676,Wealth,Active,2025-07-30,2035-07-28,45152,24366093,Quarterly,2025-03-21,High
POL-00190,CUS-0184,PRD-0003,ADV-0015,MLJ-521595,Life,Active,2024-06-17,2039-06-17,75663,103419520,Monthly,2026-04-04,High
POL-00191,CUS-0030,PRD-0009,ADV-0015,MLJ-573894,Group,Active,2025-12-10,2035-12-10,85865,339978678,Monthly,2025-05-26,High
POL-00192,CUS-0066,PRD-0012,ADV-0026,MLJ-583468,Life,Lapsed,2022-10-29,2042-10-28,5596,18502190,Monthly,2025-06-13,Medium
POL-00193,CUS-0011,PRD-0001,ADV-0026,MLJ-562570,Wealth,Active,2023-03-13,2038-03-13,18695,11167954,Monthly,2025-03-19,Medium
POL-00194,CUS-0058,PRD-0005,ADV-0009,MLJ-912586,Life,Active,2024-01-13,2034-01-13,1393,3532036,Quarterly,2025-05-31,High
POL-00195,CUS-0074,PRD-0007,ADV-0028,MLJ-490750,Health,Lapsed,2022-11-04,2042-11-04,952,1775737,Monthly,2025-04-09,Medium
POL-00196,CUS-0132,PRD-0003,ADV-0019,MLJ-706677,Life,Active,2020-02-04,2035-02-04,84057,133858606,Quarterly,2025-08-11,Low
POL-00197,CUS-0063,PRD-0007,ADV-0030,MLJ-143122,Health,Active,2019-06-14,2039-06-14,5264,9749592,Monthly,2025-01-06,High
POL-00198,CUS-0022,PRD-0005,ADV-0015,MLJ-787034,Life,Active,2018-06-27,2028-06-27,8440,18117831,Monthly,2025-05-09,Medium
POL-00199,CUS-0090,PRD-0001,ADV-0018,MLJ-838529,Wealth,Active,2025-03-27,2040-03-27,92550,47416875,Monthly,2025-03-17,High
POL-00200,CUS-0117,PRD-0008,ADV-0011,MLJ-218162,Health,Active,2022-04-17,2042-04-17,8883,10791095,Annual,2025-06-26,High
POL-00201,CUS-0079,PRD-0010,ADV-0007,MLJ-488627,Life,Cancelled,2021-06-11,2120-06-11,39081,23415505,Semi-Annual,2025-02-04,High
POL-00202,CUS-0117,PRD-0007,ADV-0018,MLJ-229511,Health,Active,2018-10-03,2117-10-03,1657,3436235,Quarterly,2025-12-20,High
POL-00203,CUS-0102,PRD-0003,ADV-0027,MLJ-928024,Life,Cancelled,2018-04-04,2033-04-04,147701,180677677,Semi-Annual,2025-01-03,Low
POL-00204,CUS-0083,PRD-0004,ADV-0024,MLJ-468213,Life,Lapsed,2020-01-28,2040-01-28,9307,56601480,Semi-Annual,2025-03-22,High
POL-00205,CUS-0048,PRD-0010,ADV-0010,MLJ-858090,Life,Active,2018-03-01,2038-03-01,136858,68818172,Semi-Annual,2025-10-14,High
POL-00206,CUS-0191,PRD-0006,ADV-0009,MLJ-594700,Health,Lapsed,2019-01-08,2049-01-08,3780,4976552,Annual,2025-01-25,Low
POL-00207,CUS-0072,PRD-0002,ADV-0016,MLJ-252455,Wealth,Cancelled,2018-09-23,2028-09-23,1023,978916,Annual,2025-10-07,Medium
POL-00208,CUS-0135,PRD-0003,ADV-0028,MLJ-177288,Life,Active,2020-05-24,2050-05-24,99297,161762445,Semi-Annual,2026-01-07,High
POL-00209,CUS-0160,PRD-0001,ADV-0012,MLJ-194023,Wealth,Active,2025-06-27,2124-06-27,25335,13937860,Annual,2025-11-28,High
POL-00210,CUS-0061,PRD-0011,ADV-0001,MLJ-873203,Health,Active,2023-06-22,2053-06-22,6776,16593401,Monthly,2026-02-12,Low
POL-00211,CUS-0054,PRD-0010,ADV-0025,MLJ-749084,Life,Active,2023-03-15,2038-03-15,136765,91254521,Quarterly,2026-02-11,Low
POL-00212,CUS-0083,PRD-0009,ADV-0027,MLJ-930428,Group,Lapsed,2018-03-29,2038-03-28,16332,46722122,Monthly,2026-02-05,High
POL-00213,CUS-0028,PRD-0011,ADV-0014,MLJ-871433,Health,Active,2023-09-24,2043-09-24,1778,5455595,Monthly,2025-02-06,Medium
POL-00214,CUS-0070,PRD-0010,ADV-0020,MLJ-825988,Life,Active,2024-10-15,2039-10-15,334715,193870468,Semi-Annual,2025-10-24,Low
POL-00215,CUS-0192,PRD-0004,ADV-0026,MLJ-307257,Life,Active,2024-04-09,2044-04-09,2119,16927416,Monthly,2025-09-27,Low
POL-00216,CUS-0116,PRD-0007,ADV-0001,MLJ-839333,Health,Active,2018-12-03,2117-12-03,400,729881,Semi-Annual,2025-05-15,High
POL-00217,CUS-0047,PRD-0006,ADV-0013,MLJ-675782,Health,Active,2019-09-14,2118-09-14,7824,11806275,Monthly,2025-01-01,High
POL-00218,CUS-0005,PRD-0005,ADV-0017,MLJ-654880,Life,Active,2025-03-15,2055-03-15,16605,30563920,Monthly,2025-06-26,High
POL-00219,CUS-0152,PRD-0010,ADV-0014,MLJ-584137,Life,Lapsed,2019-12-22,2118-12-22,392620,199395712,Semi-Annual,2025-07-18,High
POL-00220,CUS-0110,PRD-0005,ADV-0016,MLJ-477331,Life,Lapsed,2018-10-20,2038-10-20,1509,3813793,Monthly,2025-08-01,Low
POL-00221,CUS-0058,PRD-0001,ADV-0026,MLJ-873140,Wealth,Active,2021-04-25,2031-04-25,72351,37192341,Semi-Annual,2025-10-26,Medium
POL-00222,CUS-0109,PRD-0005,ADV-0003,MLJ-574125,Life,Cancelled,2025-05-23,2035-05-23,23421,47299348,Annual,2025-10-18,Low
POL-00223,CUS-0186,PRD-0011,ADV-0019,MLJ-527506,Health,Active,2023-09-16,2122-09-16,6361,15357577,Semi-Annual,2025-11-06,Medium
POL-00224,CUS-0184,PRD-0006,ADV-0028,MLJ-307264,Health,Active,2020-09-23,2040-09-23,13872,17073897,Semi-Annual,2026-01-22,Low
POL-00225,CUS-0169,PRD-0001,ADV-0026,MLJ-642643,Wealth,Lapsed,2023-10-04,2122-10-04,81234,40507592,Annual,2025-12-17,Low
POL-00226,CUS-0087,PRD-0001,ADV-0006,MLJ-427780,Wealth,Active,2019-12-20,2029-12-20,41231,26573311,Quarterly,2025-09-15,High
POL-00227,CUS-0025,PRD-0005,ADV-0023,MLJ-395526,Life,Active,2020-10-16,2035-10-16,16773,45150946,Monthly,2025-11-27,High
POL-00228,CUS-0050,PRD-0004,ADV-0024,MLJ-947693,Life,Active,2022-04-07,2032-04-07,2547,15417560,Semi-Annual,2025-09-02,Medium
POL-00229,CUS-0124,PRD-0008,ADV-0009,MLJ-743689,Health,Lapsed,2024-09-14,2034-09-14,13708,20131638,Monthly,2025-09-20,Low
POL-00230,CUS-0148,PRD-0006,ADV-0001,MLJ-295611,Health,Active,2024-06-03,2044-06-03,10631,12036442,Quarterly,2026-02-06,Medium
POL-00231,CUS-0138,PRD-0009,ADV-0026,MLJ-143710,Group,Active,2025-07-12,2035-07-12,16351,53613207,Quarterly,2025-03-16,Medium
POL-00232,CUS-0167,PRD-0002,ADV-0023,MLJ-808992,Wealth,Cancelled,2023-11-18,2053-11-18,30563,23130630,Annual,2025-04-15,Medium
POL-00233,CUS-0096,PRD-0004,ADV-0025,MLJ-384041,Life,Active,2019-11-01,2118-11-01,1004,7596675,Quarterly,2025-01-04,Low
POL-00234,CUS-0188,PRD-0003,ADV-0020,MLJ-751266,Life,Active,2021-12-02,2120-12-02,150143,185955697,Monthly,2025-01-10,High
POL-00235,CUS-0048,PRD-0008,ADV-0007,MLJ-413330,Health,Active,2018-03-07,2033-03-07,2466,3802164,Quarterly,2025-04-22,High
POL-00236,CUS-0178,PRD-0011,ADV-0020,MLJ-499040,Health,Active,2021-06-15,2031-06-15,5057,14892667,Quarterly,2025-08-28,Low
POL-00237,CUS-0027,PRD-0001,ADV-0028,MLJ-648378,Wealth,Cancelled,2021-03-07,2120-03-07,80548,41837700,Monthly,2025-06-26,High
POL-00238,CUS-0043,PRD-0008,ADV-0006,MLJ-834687,Health,Active,2024-10-22,2044-10-22,11636,15833646,Semi-Annual,2025-04-05,Medium
POL-00239,CUS-0146,PRD-0002,ADV-0029,MLJ-152121,Wealth,Lapsed,2023-08-30,2122-08-28,14152,11064759,Semi-Annual,2025-06-02,Low
POL-00240,CUS-0095,PRD-0006,ADV-0014,MLJ-996857,Health,Cancelled,2023-03-26,2033-03-26,8761,10479387,Semi-Annual,2025-10-28,Medium
POL-00241,CUS-0107,PRD-0006,ADV-0026,MLJ-541456,Health,Lapsed,2018-07-01,2038-07-01,12579,17164224,Semi-Annual,2025-01-24,Medium
POL-00242,CUS-0022,PRD-0001,ADV-0015,MLJ-499816,Wealth,Active,2023-09-19,2043-09-19,10209,4928376,Annual,2025-05-16,High
POL-00243,CUS-0113,PRD-0005,ADV-0017,MLJ-355923,Life,Cancelled,2020-03-23,2035-03-23,3900,7444009,Semi-Annual,2025-11-24,High
POL-00244,CUS-0177,PRD-0006,ADV-0008,MLJ-101138,Health,Active,2018-11-24,2117-11-24,7907,9408856,Annual,2025-09-16,High
POL-00245,CUS-0052,PRD-0008,ADV-0028,MLJ-204814,Health,Active,2018-04-11,2048-04-11,5024,7254232,Quarterly,2025-02-22,Medium
POL-00246,CUS-0148,PRD-0005,ADV-0029,MLJ-870214,Life,Lapsed,2018-12-31,2048-12-28,11171,27743847,Semi-Annual,2026-04-21,Medium
POL-00247,CUS-0080,PRD-0002,ADV-0016,MLJ-506018,Wealth,Active,2022-07-06,2042-07-06,11764,7985157,Semi-Annual,2026-02-12,High
POL-00248,CUS-0075,PRD-0008,ADV-0022,MLJ-447316,Health,Lapsed,2024-11-12,2123-11-12,13192,22345098,Quarterly,2025-02-02,Low
POL-00249,CUS-0037,PRD-0006,ADV-0009,MLJ-168149,Health,Active,2025-10-14,2124-10-14,11396,17688459,Annual,2025-11-08,Medium
POL-00250,CUS-0012,PRD-0008,ADV-0007,MLJ-176852,Health,Active,2019-06-20,2118-06-20,6857,9982344,Semi-Annual,2025-08-22,High
POL-00251,CUS-0014,PRD-0005,ADV-0011,MLJ-375393,Life,Lapsed,2020-11-16,2030-11-16,1707,3315554,Annual,2025-11-15,High
POL-00252,CUS-0101,PRD-0008,ADV-0017,MLJ-838805,Health,Lapsed,2021-06-01,2120-06-01,15914,22950919,Quarterly,2025-07-04,Medium
POL-00253,CUS-0101,PRD-0005,ADV-0014,MLJ-714229,Life,Active,2019-08-24,2039-08-24,14842,39288206,Quarterly,2025-03-22,Medium
POL-00254,CUS-0186,PRD-0001,ADV-0012,MLJ-520941,Wealth,Active,2021-11-06,2051-11-06,43888,23719509,Annual,2025-10-05,Low
POL-00255,CUS-0076,PRD-0008,ADV-0030,MLJ-217163,Health,Lapsed,2021-03-24,2036-03-24,557,942010,Annual,2025-09-19,Medium
POL-00256,CUS-0005,PRD-0012,ADV-0014,MLJ-805032,Life,Active,2025-09-30,2045-09-28,3754,9757176,Semi-Annual,2025-09-12,High
POL-00257,CUS-0044,PRD-0012,ADV-0012,MLJ-749131,Life,Lapsed,2021-10-04,2120-10-04,2628,8475152,Semi-Annual,2026-01-07,Medium
POL-00258,CUS-0014,PRD-0003,ADV-0009,MLJ-528303,Life,Cancelled,2023-12-18,2053-12-18,123681,187214217,Monthly,2025-04-29,Low
POL-00259,CUS-0162,PRD-0011,ADV-0016,MLJ-421992,Health,Active,2022-01-07,2032-01-07,3360,8586757,Monthly,2025-08-26,Medium
POL-00260,CUS-0017,PRD-0002,ADV-0027,MLJ-323219,Wealth,Cancelled,2018-08-05,2033-08-05,23591,23219007,Semi-Annual,2025-08-03,High
POL-00261,CUS-0167,PRD-0009,ADV-0017,MLJ-413991,Group,Active,2024-09-20,2039-09-20,60546,195604070,Annual,2025-03-30,High
POL-00262,CUS-0163,PRD-0007,ADV-0028,MLJ-361617,Health,Cancelled,2023-12-15,2053-12-15,4373,8255623,Semi-Annual,2025-02-16,Medium
POL-00263,CUS-0176,PRD-0003,ADV-0013,MLJ-217292,Life,Active,2023-02-07,2033-02-07,106085,180048437,Annual,2025-07-21,Medium
POL-00264,CUS-0071,PRD-0001,ADV-0024,MLJ-534007,Wealth,Lapsed,2024-07-24,2044-07-24,73676,39143276,Annual,2025-07-06,Low
POL-00265,CUS-0094,PRD-0011,ADV-0022,MLJ-220020,Health,Active,2023-01-25,2122-01-25,5302,15179621,Monthly,2026-02-21,High
POL-00266,CUS-0051,PRD-0012,ADV-0013,MLJ-319885,Life,Active,2018-09-25,2048-09-25,8231,27970946,Annual,2025-03-16,Low
POL-00267,CUS-0127,PRD-0011,ADV-0025,MLJ-128699,Health,Active,2018-05-08,2028-05-08,413,1274915,Annual,2025-05-23,High
POL-00268,CUS-0067,PRD-0001,ADV-0013,MLJ-580496,Wealth,Active,2019-01-01,2034-01-01,76354,38349369,Annual,2026-04-22,High
POL-00269,CUS-0182,PRD-0001,ADV-0029,MLJ-657149,Wealth,Active,2020-10-22,2119-10-22,74900,44659026,Annual,2025-08-05,Medium
POL-00270,CUS-0081,PRD-0006,ADV-0006,MLJ-884352,Health,Active,2022-11-25,2121-11-25,816,1196758,Monthly,2025-04-02,Medium
POL-00271,CUS-0008,PRD-0005,ADV-0007,MLJ-651666,Life,Active,2023-03-22,2043-03-22,19234,40165188,Semi-Annual,2025-02-16,Low
POL-00272,CUS-0083,PRD-0001,ADV-0030,MLJ-202942,Wealth,Cancelled,2020-07-05,2030-07-05,46961,25760999,Semi-Annual,2025-09-26,Low
POL-00273,CUS-0037,PRD-0006,ADV-0020,MLJ-502158,Health,Active,2024-05-24,2039-05-24,7521,11048446,Monthly,2025-03-18,High
POL-00274,CUS-0024,PRD-0008,ADV-0009,MLJ-775545,Health,Lapsed,2021-06-11,2120-06-11,16782,21201308,Quarterly,2025-03-14,Medium
POL-00275,CUS-0190,PRD-0009,ADV-0011,MLJ-128832,Group,Lapsed,2018-01-03,2038-01-03,59380,171112964,Semi-Annual,2026-03-21,Medium
POL-00276,CUS-0022,PRD-0011,ADV-0003,MLJ-781478,Health,Cancelled,2020-11-08,2040-11-08,1861,3911552,Monthly,2025-01-07,High
POL-00277,CUS-0168,PRD-0007,ADV-0015,MLJ-448891,Health,Active,2020-06-26,2030-06-26,1317,2580620,Quarterly,2025-02-10,Medium
POL-00278,CUS-0041,PRD-0012,ADV-0025,MLJ-413057,Life,Active,2021-06-28,2031-06-28,4206,13169398,Quarterly,2025-11-07,High
POL-00279,CUS-0165,PRD-0009,ADV-0004,MLJ-332599,Group,Active,2024-12-14,2044-12-14,89453,257974296,Monthly,2025-08-25,Medium
POL-00280,CUS-0188,PRD-0011,ADV-0004,MLJ-541425,Health,Active,2020-03-15,2040-03-15,2178,5346542,Monthly,2025-11-03,Low
POL-00281,CUS-0065,PRD-0005,ADV-0005,MLJ-375769,Life,Active,2020-02-29,2050-02-28,11322,27445934,Annual,2025-03-07,Low
POL-00282,CUS-0091,PRD-0006,ADV-0025,MLJ-828913,Health,Active,2022-06-06,2032-06-06,2202,3233238,Quarterly,2025-02-13,Low
POL-00283,CUS-0075,PRD-0003,ADV-0027,MLJ-268996,Life,Lapsed,2022-06-05,2042-06-05,77862,112589282,Quarterly,2026-03-22,Low
POL-00284,CUS-0170,PRD-0003,ADV-0028,MLJ-151402,Life,Active,2024-07-15,2054-07-15,92058,151023560,Annual,2025-05-09,High
POL-00285,CUS-0063,PRD-0011,ADV-0027,MLJ-697184,Health,Active,2024-05-10,2054-05-10,3567,8920161,Quarterly,2026-03-20,Low
POL-00286,CUS-0094,PRD-0011,ADV-0005,MLJ-259466,Health,Cancelled,2024-02-22,2034-02-22,6029,13338449,Semi-Annual,2025-08-26,Medium
POL-00287,CUS-0095,PRD-0010,ADV-0011,MLJ-884835,Life,Cancelled,2019-08-09,2039-08-09,179805,119072426,Monthly,2025-03-18,High
POL-00288,CUS-0172,PRD-0007,ADV-0022,MLJ-305904,Health,Active,2022-05-08,2032-05-08,3499,6611678,Semi-Annual,2026-02-27,Low
POL-00289,CUS-0037,PRD-0010,ADV-0011,MLJ-820220,Life,Cancelled,2021-12-02,2051-12-02,121580,86467737,Quarterly,2025-03-13,Medium
POL-00290,CUS-0130,PRD-0006,ADV-0018,MLJ-817799,Health,Active,2024-01-08,2039-01-08,8656,9267333,Annual,2025-07-04,High
POL-00291,CUS-0197,PRD-0009,ADV-0020,MLJ-222899,Group,Active,2020-02-16,2035-02-16,16163,54772871,Annual,2026-02-15,High
POL-00292,CUS-0118,PRD-0006,ADV-0022,MLJ-191566,Health,Cancelled,2019-04-16,2049-04-16,5386,5751578,Monthly,2026-01-26,High
POL-00293,CUS-0078,PRD-0002,ADV-0018,MLJ-381998,Wealth,Lapsed,2022-11-29,2042-11-28,6286,6266658,Annual,2025-05-18,Medium
POL-00294,CUS-0192,PRD-0010,ADV-0021,MLJ-908764,Life,Active,2018-12-14,2038-12-14,28091,14392406,Semi-Annual,2026-01-01,Medium
POL-00295,CUS-0196,PRD-0007,ADV-0003,MLJ-492442,Health,Lapsed,2024-08-09,2044-08-09,2267,3261881,Quarterly,2025-12-09,Low
POL-00296,CUS-0108,PRD-0010,ADV-0029,MLJ-286579,Life,Cancelled,2019-02-12,2029-02-12,140673,69295215,Quarterly,2026-02-18,Low
POL-00297,CUS-0127,PRD-0004,ADV-0012,MLJ-893960,Life,Active,2019-09-11,2049-09-11,15125,86376850,Monthly,2025-12-23,Medium
POL-00298,CUS-0049,PRD-0002,ADV-0028,MLJ-186853,Wealth,Lapsed,2018-03-31,2038-03-28,20855,16772743,Monthly,2026-01-01,Medium
POL-00299,CUS-0092,PRD-0002,ADV-0030,MLJ-660381,Wealth,Active,2021-07-01,2051-07-01,30369,23310281,Semi-Annual,2025-09-21,High
POL-00300,CUS-0141,PRD-0009,ADV-0006,MLJ-836278,Group,Active,2024-04-12,2034-04-12,56536,162756297,Monthly,2026-02-17,High
POL-00301,CUS-0155,PRD-0012,ADV-0017,MLJ-234522,Life,Active,2024-02-12,2039-02-12,3560,11993740,Monthly,2025-11-19,High
POL-00302,CUS-0106,PRD-0011,ADV-0019,MLJ-361728,Health,Active,2018-09-19,2048-09-19,2613,5722761,Semi-Annual,2025-02-22,Low
POL-00303,CUS-0134,PRD-0002,ADV-0019,MLJ-434008,Wealth,Active,2024-12-15,2034-12-15,19302,15505308,Semi-Annual,2026-01-04,Medium
POL-00304,CUS-0139,PRD-0003,ADV-0006,MLJ-854686,Life,Active,2025-11-06,2045-11-06,83363,104189270,Semi-Annual,2025-03-18,High
POL-00305,CUS-0137,PRD-0008,ADV-0016,MLJ-395907,Health,Active,2024-07-13,2039-07-13,4945,8229096,Quarterly,2025-07-12,Low
POL-00306,CUS-0145,PRD-0011,ADV-0023,MLJ-945922,Health,Active,2025-04-03,2035-04-03,1521,3753583,Semi-Annual,2025-04-22,Low
POL-00307,CUS-0184,PRD-0005,ADV-0020,MLJ-844745,Life,Active,2019-01-03,2049-01-03,12179,27194575,Monthly,2025-07-21,Medium
POL-00308,CUS-0088,PRD-0010,ADV-0006,MLJ-378471,Life,Active,2019-11-24,2029-11-24,525504,292586175,Annual,2025-05-03,Medium
POL-00309,CUS-0051,PRD-0002,ADV-0004,MLJ-186748,Wealth,Active,2018-10-25,2117-10-25,13490,11563838,Quarterly,2025-01-20,Medium
POL-00310,CUS-0079,PRD-0009,ADV-0005,MLJ-763785,Group,Cancelled,2020-04-27,2035-04-27,19836,61509395,Annual,2025-06-27,High
POL-00311,CUS-0044,PRD-0007,ADV-0027,MLJ-894223,Health,Active,2018-11-01,2028-11-01,3146,6190900,Quarterly,2026-02-20,Low
POL-00312,CUS-0031,PRD-0004,ADV-0001,MLJ-750233,Life,Lapsed,2022-09-21,2121-09-21,3043,20924421,Annual,2025-07-20,Medium
POL-00313,CUS-0068,PRD-0004,ADV-0028,MLJ-803132,Life,Active,2021-03-19,2051-03-19,406,2359694,Semi-Annual,2025-07-14,Medium
POL-00314,CUS-0103,PRD-0001,ADV-0030,MLJ-283153,Wealth,Active,2022-11-16,2037-11-16,29085,18774135,Semi-Annual,2026-01-25,Medium
POL-00315,CUS-0085,PRD-0007,ADV-0003,MLJ-664790,Health,Cancelled,2018-09-06,2117-09-06,4945,7574224,Quarterly,2025-12-15,Medium
POL-00316,CUS-0103,PRD-0010,ADV-0028,MLJ-803086,Life,Cancelled,2022-02-22,2052-02-22,444123,222491676,Semi-Annual,2025-06-09,Low
POL-00317,CUS-0017,PRD-0012,ADV-0010,MLJ-557238,Life,Cancelled,2018-08-29,2038-08-28,4391,15334184,Quarterly,2025-11-28,High
POL-00318,CUS-0023,PRD-0011,ADV-0016,MLJ-579299,Health,Active,2023-01-23,2053-01-23,4682,14148553,Semi-Annual,2025-09-15,Medium
POL-00319,CUS-0169,PRD-0012,ADV-0004,MLJ-966422,Life,Cancelled,2018-04-14,2028-04-14,2764,9489875,Annual,2025-05-07,Low
POL-00320,CUS-0144,PRD-0001,ADV-0028,MLJ-688982,Wealth,Active,2025-09-09,2035-09-09,21332,12779972,Annual,2025-03-09,Medium
POL-00321,CUS-0008,PRD-0002,ADV-0010,MLJ-919310,Wealth,Lapsed,2024-11-21,2034-11-21,26152,25963612,Monthly,2025-02-05,High
POL-00322,CUS-0107,PRD-0008,ADV-0003,MLJ-615521,Health,Active,2025-06-15,2035-06-15,4497,7548122,Semi-Annual,2026-03-04,High
POL-00323,CUS-0008,PRD-0009,ADV-0005,MLJ-804410,Group,Active,2021-11-17,2031-11-17,55929,226743886,Semi-Annual,2025-02-25,Low
POL-00324,CUS-0199,PRD-0009,ADV-0026,MLJ-312720,Group,Active,2019-06-29,2029-06-28,49538,151104840,Annual,2025-08-12,Low
POL-00325,CUS-0008,PRD-0006,ADV-0019,MLJ-878592,Health,Active,2018-08-20,2033-08-20,10624,16339203,Quarterly,2025-09-08,Low
POL-00326,CUS-0005,PRD-0012,ADV-0004,MLJ-501098,Life,Active,2022-05-08,2052-05-08,4465,14534128,Monthly,2025-04-12,High
POL-00327,CUS-0164,PRD-0007,ADV-0002,MLJ-460495,Health,Active,2019-04-16,2049-04-16,1026,1456046,Monthly,2025-11-28,High
POL-00328,CUS-0075,PRD-0008,ADV-0012,MLJ-591613,Health,Active,2025-05-05,2055-05-05,18864,24064645,Semi-Annual,2025-08-19,Medium
POL-00329,CUS-0062,PRD-0010,ADV-0003,MLJ-264625,Life,Active,2019-08-14,2039-08-14,383598,267183413,Semi-Annual,2025-03-28,Low
POL-00330,CUS-0067,PRD-0012,ADV-0027,MLJ-853368,Life,Active,2025-04-12,2045-04-12,8486,22877008,Monthly,2025-09-11,Medium
POL-00331,CUS-0148,PRD-0010,ADV-0023,MLJ-523491,Life,Active,2022-07-31,2037-07-28,68435,48479722,Annual,2025-11-11,Medium
POL-00332,CUS-0110,PRD-0011,ADV-0011,MLJ-121084,Health,Active,2018-11-26,2038-11-26,4532,10740330,Quarterly,2025-05-20,Low
POL-00333,CUS-0060,PRD-0003,ADV-0022,MLJ-369551,Life,Lapsed,2023-07-19,2122-07-19,85730,111164461,Semi-Annual,2025-01-11,High
POL-00334,CUS-0183,PRD-0002,ADV-0007,MLJ-601118,Wealth,Active,2024-05-29,2123-05-28,18048,15220921,Annual,2025-09-03,High
POL-00335,CUS-0025,PRD-0008,ADV-0002,MLJ-540676,Health,Active,2023-02-03,2033-02-03,10703,16439620,Semi-Annual,2025-10-05,High
POL-00336,CUS-0200,PRD-0009,ADV-0019,MLJ-427353,Group,Active,2025-10-12,2124-10-12,107211,324931499,Semi-Annual,2025-08-07,Low
POL-00337,CUS-0053,PRD-0010,ADV-0019,MLJ-498014,Life,Cancelled,2018-09-12,2117-09-12,352173,211812374,Semi-Annual,2025-12-01,Low
POL-00338,CUS-0142,PRD-0006,ADV-0003,MLJ-189111,Health,Lapsed,2018-06-15,2038-06-15,5113,6633857,Quarterly,2025-10-23,High
POL-00339,CUS-0196,PRD-0007,ADV-0025,MLJ-760050,Health,Active,2024-01-29,2054-01-28,1689,2679531,Quarterly,2026-02-07,High
POL-00340,CUS-0051,PRD-0010,ADV-0025,MLJ-475264,Life,Active,2018-03-27,2038-03-27,119933,61385747,Quarterly,2025-11-23,Medium
POL-00341,CUS-0015,PRD-0003,ADV-0020,MLJ-145547,Life,Active,2021-10-03,2120-10-03,43791,66659497,Quarterly,2025-09-14,High
POL-00342,CUS-0158,PRD-0002,ADV-0013,MLJ-172038,Wealth,Lapsed,2019-10-29,2039-10-28,10527,8222369,Annual,2025-06-26,High
POL-00343,CUS-0107,PRD-0011,ADV-0015,MLJ-493582,Health,Active,2025-09-23,2035-09-23,2276,5193983,Semi-Annual,2025-03-05,High
POL-00344,CUS-0194,PRD-0002,ADV-0006,MLJ-461769,Wealth,Cancelled,2021-12-27,2051-12-27,28772,22730885,Semi-Annual,2025-05-07,High
POL-00345,CUS-0056,PRD-0005,ADV-0030,MLJ-852306,Life,Active,2025-11-29,2055-11-28,20235,46845279,Quarterly,2026-03-02,Medium
POL-00346,CUS-0036,PRD-0005,ADV-0010,MLJ-816433,Life,Active,2023-08-14,2043-08-14,19189,48079269,Semi-Annual,2026-04-07,Low
POL-00347,CUS-0125,PRD-0005,ADV-0028,MLJ-281758,Life,Cancelled,2025-08-16,2055-08-16,10743,20932502,Semi-Annual,2025-03-27,Medium
POL-00348,CUS-0052,PRD-0009,ADV-0027,MLJ-155424,Group,Cancelled,2021-06-18,2051-06-18,32061,101291243,Monthly,2025-01-06,Low
POL-00349,CUS-0062,PRD-0001,ADV-0026,MLJ-362936,Wealth,Active,2020-08-18,2119-08-18,2466,1293298,Annual,2025-02-23,High
POL-00350,CUS-0145,PRD-0003,ADV-0024,MLJ-430826,Life,Active,2021-04-13,2120-04-13,31012,39154664,Monthly,2025-07-25,High
